00001 A00     0 Cholera                                                      Cholera
05122 F1012   0 Alcohol abuse with intoxication                              Alcohol abuse with intoxication
05123 F10120  1 Alcohol abuse with intoxication, uncomplicated               Alcohol abuse with intoxication, uncomplicated
05124 F10121  1 Alcohol abuse with intoxication delirium                     Alcohol abuse with intoxication delirium
05125 F10129  1 Alcohol abuse with intoxication, unspecified                 Alcohol abuse with intoxication, unspecified
05126 F1013   0 Alcohol abuse, with withdrawal                               Alcohol abuse, with withdrawal
05127 F10130  1 Alcohol abuse with withdrawal, uncomplicated                 Alcohol abuse with withdrawal, uncomplicated
05128 F10131  1 Alcohol abuse with withdrawal delirium                       Alcohol abuse with withdrawal delirium
05129 F10132  1 Alcohol abuse with withdrawal with perceptual disturbance    Alcohol abuse with withdrawal with perceptual disturbance
05130 F10139  1 Alcohol abuse with withdrawal, unspecified                   Alcohol abuse with withdrawal, unspecified
05131 F1014   1 Alcohol abuse with alcohol-induced mood disorder             Alcohol abuse with alcohol-induced mood disorder
05132 F1015   0 Alcohol abuse with alcohol-induced psychotic disorder        Alcohol abuse with alcohol-induced psychotic disorder
05133 F10150  1 Alcohol abuse w alcoh-induce psychotic disorder w delusions  Alcohol abuse with alcohol-induced psychotic disorder with delusions
05134 F10151  1 Alcohol abuse w alcoh-induce psychotic disorder w hallucin   Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
05135 F10159  1 Alcohol abuse with alcohol-induced psychotic disorder, unsp  Alcohol abuse with alcohol-induced psychotic disorder, unspecified
05136 F1018   0 Alcohol abuse with other alcohol-induced disorders           Alcohol abuse with other alcohol-induced disorders
05137 F10180  1 Alcohol abuse with alcohol-induced anxiety disorder          Alcohol abuse with alcohol-induced anxiety disorder
05138 F10181  1 Alcohol abuse with alcohol-induced sexual dysfunction        Alcohol abuse with alcohol-induced sexual dysfunction
05139 F10182  1 Alcohol abuse with alcohol-induced sleep disorder            Alcohol abuse with alcohol-induced sleep disorder
05140 F10188  1 Alcohol abuse with other alcohol-induced disorder            Alcohol abuse with other alcohol-induced disorder
05141 F1019   1 Alcohol abuse with unspecified alcohol-induced disorder      Alcohol abuse with unspecified alcohol-induced disorder
05142 F102    0 Alcohol dependence                                           Alcohol dependence
05143 F1020   1 Alcohol dependence, uncomplicated                            Alcohol dependence, uncomplicated
05144 F1021   1 Alcohol dependence, in remission                             Alcohol dependence, in remission
05145 F1022   0 Alcohol dependence with intoxication                         Alcohol dependence with intoxication
05146 F10220  1 Alcohol dependence with intoxication, uncomplicated          Alcohol dependence with intoxication, uncomplicated
05147 F10221  1 Alcohol dependence with intoxication delirium                Alcohol dependence with intoxication delirium
05148 F10229  1 Alcohol dependence with intoxication, unspecified            Alcohol dependence with intoxication, unspecified
05149 F1023   0 Alcohol dependence with withdrawal                           Alcohol dependence with withdrawal
05150 F10230  1 Alcohol dependence with withdrawal, uncomplicated            Alcohol dependence with withdrawal, uncomplicated
05151 F10231  1 Alcohol dependence with withdrawal delirium                  Alcohol dependence with withdrawal delirium
05152 F10232  1 Alcohol dependence w withdrawal with perceptual disturbance  Alcohol dependence with withdrawal with perceptual disturbance
05153 F10239  1 Alcohol dependence with withdrawal, unspecified              Alcohol dependence with withdrawal, unspecified
05154 F1024   1 Alcohol dependence with alcohol-induced mood disorder        Alcohol dependence with alcohol-induced mood disorder
05155 F1025   0 Alcohol dependence with alcohol-induced psychotic disorder   Alcohol dependence with alcohol-induced psychotic disorder
05156 F10250  1 Alcohol depend w alcoh-induce psychotic disorder w delusions Alcohol dependence with alcohol-induced psychotic disorder with delusions
05157 F10251  1 Alcohol depend w alcoh-induce psychotic disorder w hallucin  Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
05158 F10259  1 Alcohol dependence w alcoh-induce psychotic disorder, unsp   Alcohol dependence with alcohol-induced psychotic disorder, unspecified
05159 F1026   1 Alcohol depend w alcoh-induce persisting amnestic disorder   Alcohol dependence with alcohol-induced persisting amnestic disorder
05160 F1027   1 Alcohol dependence with alcohol-induced persisting dementia  Alcohol dependence with alcohol-induced persisting dementia
05161 F1028   0 Alcohol dependence with other alcohol-induced disorders      Alcohol dependence with other alcohol-induced disorders
05162 F10280  1 Alcohol dependence with alcohol-induced anxiety disorder     Alcohol dependence with alcohol-induced anxiety disorder
05163 F10281  1 Alcohol dependence with alcohol-induced sexual dysfunction   Alcohol dependence with alcohol-induced sexual dysfunction
05164 F10282  1 Alcohol dependence with alcohol-induced sleep disorder       Alcohol dependence with alcohol-induced sleep disorder
05165 F10288  1 Alcohol dependence with other alcohol-induced disorder       Alcohol dependence with other alcohol-induced disorder
05166 F1029   1 Alcohol dependence with unspecified alcohol-induced disorder Alcohol dependence with unspecified alcohol-induced disorder
05167 F109    0 Alcohol use, unspecified                                     Alcohol use, unspecified
05168 F1090   1 Alcohol use, unspecified, uncomplicated                      Alcohol use, unspecified, uncomplicated
05169 F1091   1 Alcohol use, unspecified, in remission                       Alcohol use, unspecified, in remission
05170 F1092   0 Alcohol use, unspecified with intoxication                   Alcohol use, unspecified with intoxication
05171 F10920  1 Alcohol use, unspecified with intoxication, uncomplicated    Alcohol use, unspecified with intoxication, uncomplicated
05172 F10921  1 Alcohol use, unspecified with intoxication delirium          Alcohol use, unspecified with intoxication delirium
05173 F10929  1 Alcohol use, unspecified with intoxication, unspecified      Alcohol use, unspecified with intoxication, unspecified
05174 F1093   0 Alcohol use, unspecified with withdrawal                     Alcohol use, unspecified with withdrawal
05175 F10930  1 Alcohol use, unspecified with withdrawal, uncomplicated      Alcohol use, unspecified with withdrawal, uncomplicated
05176 F10931  1 Alcohol use, unspecified with withdrawal delirium            Alcohol use, unspecified with withdrawal delirium
05177 F10932  1 Alcohol use, unspecified with w/drawal w perceptual disturb  Alcohol use, unspecified with withdrawal with perceptual disturbance
05178 F10939  1 Alcohol use, unspecified with withdrawal, unspecified        Alcohol use, unspecified with withdrawal, unspecified
05179 F1094   1 Alcohol use, unspecified with alcohol-induced mood disorder  Alcohol use, unspecified with alcohol-induced mood disorder
05180 F1095   0 Alcohol use, unsp with alcohol-induced psychotic disorder    Alcohol use, unspecified with alcohol-induced psychotic disorder
05181 F10950  1 Alcohol use, unsp w alcoh-induce psych disorder w delusions  Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions
05182 F10951  1 Alcohol use, unsp w alcoh-induce psych disorder w hallucin   Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations
05183 F10959  1 Alcohol use, unsp w alcohol-induced psychotic disorder, unsp Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified
05184 F1096   1 Alcohol use, unsp w alcoh-induce persist amnestic disorder   Alcohol use, unspecified with alcohol-induced persisting amnestic disorder
05185 F1097   1 Alcohol use, unsp with alcohol-induced persisting dementia   Alcohol use, unspecified with alcohol-induced persisting dementia
05186 F1098   0 Alcohol use, unsp with other alcohol-induced disorders       Alcohol use, unspecified with other alcohol-induced disorders
05187 F10980  1 Alcohol use, unsp with alcohol-induced anxiety disorder      Alcohol use, unspecified with alcohol-induced anxiety disorder
05188 F10981  1 Alcohol use, unsp with alcohol-induced sexual dysfunction    Alcohol use, unspecified with alcohol-induced sexual dysfunction
05189 F10982  1 Alcohol use, unspecified with alcohol-induced sleep disorder Alcohol use, unspecified with alcohol-induced sleep disorder
05190 F10988  1 Alcohol use, unspecified with other alcohol-induced disorder Alcohol use, unspecified with other alcohol-induced disorder
05191 F1099   1 Alcohol use, unsp with unspecified alcohol-induced disorder  Alcohol use, unspecified with unspecified alcohol-induced disorder
05192 F11     0 Opioid related disorders                                     Opioid related disorders
05193 F111    0 Opioid abuse                                                 Opioid abuse
05194 F1110   1 Opioid abuse, uncomplicated                                  Opioid abuse, uncomplicated
05195 F1111   1 Opioid abuse, in remission                                   Opioid abuse, in remission
05196 F1112   0 Opioid abuse with intoxication                               Opioid abuse with intoxication
05197 F11120  1 Opioid abuse with intoxication, uncomplicated                Opioid abuse with intoxication, uncomplicated
05198 F11121  1 Opioid abuse with intoxication delirium                      Opioid abuse with intoxication delirium
05199 F11122  1 Opioid abuse with intoxication with perceptual disturbance   Opioid abuse with intoxication with perceptual disturbance
05200 F11129  1 Opioid abuse with intoxication, unspecified                  Opioid abuse with intoxication, unspecified
05201 F1113   1 Opioid abuse with withdrawal                                 Opioid abuse with withdrawal
05202 F1114   1 Opioid abuse with opioid-induced mood disorder               Opioid abuse with opioid-induced mood disorder
05203 F1115   0 Opioid abuse with opioid-induced psychotic disorder          Opioid abuse with opioid-induced psychotic disorder
05204 F11150  1 Opioid abuse w opioid-induced psychotic disorder w delusions Opioid abuse with opioid-induced psychotic disorder with delusions
05205 F11151  1 Opioid abuse w opioid-induced psychotic disorder w hallucin  Opioid abuse with opioid-induced psychotic disorder with hallucinations
05206 F11159  1 Opioid abuse with opioid-induced psychotic disorder, unsp    Opioid abuse with opioid-induced psychotic disorder, unspecified
05207 F1118   0 Opioid abuse with other opioid-induced disorder              Opioid abuse with other opioid-induced disorder
05208 F11181  1 Opioid abuse with opioid-induced sexual dysfunction          Opioid abuse with opioid-induced sexual dysfunction
05209 F11182  1 Opioid abuse with opioid-induced sleep disorder              Opioid abuse with opioid-induced sleep disorder
05210 F11188  1 Opioid abuse with other opioid-induced disorder              Opioid abuse with other opioid-induced disorder
05211 F1119   1 Opioid abuse with unspecified opioid-induced disorder        Opioid abuse with unspecified opioid-induced disorder
05212 F112    0 Opioid dependence                                            Opioid dependence
05213 F1120   1 Opioid dependence, uncomplicated                             Opioid dependence, uncomplicated
05214 F1121   1 Opioid dependence, in remission                              Opioid dependence, in remission
05215 F1122   0 Opioid dependence with intoxication                          Opioid dependence with intoxication
05216 F11220  1 Opioid dependence with intoxication, uncomplicated           Opioid dependence with intoxication, uncomplicated
05217 F11221  1 Opioid dependence with intoxication delirium                 Opioid dependence with intoxication delirium
05218 F11222  1 Opioid dependence w intoxication with perceptual disturbance Opioid dependence with intoxication with perceptual disturbance
05219 F11229  1 Opioid dependence with intoxication, unspecified             Opioid dependence with intoxication, unspecified
05220 F1123   1 Opioid dependence with withdrawal                            Opioid dependence with withdrawal
05221 F1124   1 Opioid dependence with opioid-induced mood disorder          Opioid dependence with opioid-induced mood disorder
05222 F1125   0 Opioid dependence with opioid-induced psychotic disorder     Opioid dependence with opioid-induced psychotic disorder
05223 F11250  1 Opioid depend w opioid-induc psychotic disorder w delusions  Opioid dependence with opioid-induced psychotic disorder with delusions
05224 F11251  1 Opioid depend w opioid-induc psychotic disorder w hallucin   Opioid dependence with opioid-induced psychotic disorder with hallucinations
05225 F11259  1 Opioid dependence w opioid-induced psychotic disorder, unsp  Opioid dependence with opioid-induced psychotic disorder, unspecified
05226 F1128   0 Opioid dependence with other opioid-induced disorder         Opioid dependence with other opioid-induced disorder
05227 F11281  1 Opioid dependence with opioid-induced sexual dysfunction     Opioid dependence with opioid-induced sexual dysfunction
05228 F11282  1 Opioid dependence with opioid-induced sleep disorder         Opioid dependence with opioid-induced sleep disorder
05229 F11288  1 Opioid dependence with other opioid-induced disorder         Opioid dependence with other opioid-induced disorder
05230 F1129   1 Opioid dependence with unspecified opioid-induced disorder   Opioid dependence with unspecified opioid-induced disorder
05231 F119    0 Opioid use, unspecified                                      Opioid use, unspecified
05232 F1190   1 Opioid use, unspecified, uncomplicated                       Opioid use, unspecified, uncomplicated
05233 F1191   1 Opioid use, unspecified, in remission                        Opioid use, unspecified, in remission
05234 F1192   0 Opioid use, unspecified with intoxication                    Opioid use, unspecified with intoxication
05235 F11920  1 Opioid use, unspecified with intoxication, uncomplicated     Opioid use, unspecified with intoxication, uncomplicated
05236 F11921  1 Opioid use, unspecified with intoxication delirium           Opioid use, unspecified with intoxication delirium
05237 F11922  1 Opioid use, unsp w intoxication with perceptual disturbance  Opioid use, unspecified with intoxication with perceptual disturbance
05238 F11929  1 Opioid use, unspecified with intoxication, unspecified       Opioid use, unspecified with intoxication, unspecified
05239 F1193   1 Opioid use, unspecified with withdrawal                      Opioid use, unspecified with withdrawal
05240 F1194   1 Opioid use, unspecified with opioid-induced mood disorder    Opioid use, unspecified with opioid-induced mood disorder
05241 F1195   0 Opioid use, unsp with opioid-induced psychotic disorder      Opioid use, unspecified with opioid-induced psychotic disorder
05242 F11950  1 Opioid use, unsp w opioid-induc psych disorder w delusions   Opioid use, unspecified with opioid-induced psychotic disorder with delusions
05243 F11951  1 Opioid use, unsp w opioid-induc psych disorder w hallucin    Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations
05244 F11959  1 Opioid use, unsp w opioid-induced psychotic disorder, unsp   Opioid use, unspecified with opioid-induced psychotic disorder, unspecified
05245 F1198   0 Opioid use, unspecified with oth opioid-induced disorder     Opioid use, unspecified with other specified opioid-induced disorder
05246 F11981  1 Opioid use, unsp with opioid-induced sexual dysfunction      Opioid use, unspecified with opioid-induced sexual dysfunction
05247 F11982  1 Opioid use, unspecified with opioid-induced sleep disorder   Opioid use, unspecified with opioid-induced sleep disorder
05248 F11988  1 Opioid use, unspecified with other opioid-induced disorder   Opioid use, unspecified with other opioid-induced disorder
05249 F1199   1 Opioid use, unsp with unspecified opioid-induced disorder    Opioid use, unspecified with unspecified opioid-induced disorder
05250 F12     0 Cannabis related disorders                                   Cannabis related disorders
05251 F121    0 Cannabis abuse                                               Cannabis abuse
05252 F1210   1 Cannabis abuse, uncomplicated                                Cannabis abuse, uncomplicated
05253 F1211   1 Cannabis abuse, in remission                                 Cannabis abuse, in remission
05254 F1212   0 Cannabis abuse with intoxication                             Cannabis abuse with intoxication
05255 F12120  1 Cannabis abuse with intoxication, uncomplicated              Cannabis abuse with intoxication, uncomplicated
05256 F12121  1 Cannabis abuse with intoxication delirium                    Cannabis abuse with intoxication delirium
05257 F12122  1 Cannabis abuse with intoxication with perceptual disturbance Cannabis abuse with intoxication with perceptual disturbance
05258 F12129  1 Cannabis abuse with intoxication, unspecified                Cannabis abuse with intoxication, unspecified
05259 F1213   1 Cannabis abuse with withdrawal                               Cannabis abuse with withdrawal
05260 F1215   0 Cannabis abuse with psychotic disorder                       Cannabis abuse with psychotic disorder
05261 F12150  1 Cannabis abuse with psychotic disorder with delusions        Cannabis abuse with psychotic disorder with delusions
05262 F12151  1 Cannabis abuse with psychotic disorder with hallucinations   Cannabis abuse with psychotic disorder with hallucinations
05263 F12159  1 Cannabis abuse with psychotic disorder, unspecified          Cannabis abuse with psychotic disorder, unspecified
05264 F1218   0 Cannabis abuse with other cannabis-induced disorder          Cannabis abuse with other cannabis-induced disorder
05265 F12180  1 Cannabis abuse with cannabis-induced anxiety disorder        Cannabis abuse with cannabis-induced anxiety disorder
05266 F12188  1 Cannabis abuse with other cannabis-induced disorder          Cannabis abuse with other cannabis-induced disorder
05267 F1219   1 Cannabis abuse with unspecified cannabis-induced disorder    Cannabis abuse with unspecified cannabis-induced disorder
05268 F122    0 Cannabis dependence                                          Cannabis dependence
05269 F1220   1 Cannabis dependence, uncomplicated                           Cannabis dependence, uncomplicated
05270 F1221   1 Cannabis dependence, in remission                            Cannabis dependence, in remission
05271 F1222   0 Cannabis dependence with intoxication                        Cannabis dependence with intoxication
05272 F12220  1 Cannabis dependence with intoxication, uncomplicated         Cannabis dependence with intoxication, uncomplicated
05273 F12221  1 Cannabis dependence with intoxication delirium               Cannabis dependence with intoxication delirium
05274 F12222  1 Cannabis dependence w intoxication w perceptual disturbance  Cannabis dependence with intoxication with perceptual disturbance
05275 F12229  1 Cannabis dependence with intoxication, unspecified           Cannabis dependence with intoxication, unspecified
05276 F1223   1 Cannabis dependence with withdrawal                          Cannabis dependence with withdrawal
05277 F1225   0 Cannabis dependence with psychotic disorder                  Cannabis dependence with psychotic disorder
05278 F12250  1 Cannabis dependence with psychotic disorder with delusions   Cannabis dependence with psychotic disorder with delusions
05279 F12251  1 Cannabis dependence w psychotic disorder with hallucinations Cannabis dependence with psychotic disorder with hallucinations
05280 F12259  1 Cannabis dependence with psychotic disorder, unspecified     Cannabis dependence with psychotic disorder, unspecified
05281 F1228   0 Cannabis dependence with other cannabis-induced disorder     Cannabis dependence with other cannabis-induced disorder
05282 F12280  1 Cannabis dependence with cannabis-induced anxiety disorder   Cannabis dependence with cannabis-induced anxiety disorder
05283 F12288  1 Cannabis dependence with other cannabis-induced disorder     Cannabis dependence with other cannabis-induced disorder
05284 F1229   1 Cannabis dependence with unsp cannabis-induced disorder      Cannabis dependence with unspecified cannabis-induced disorder
05285 F129    0 Cannabis use, unspecified                                    Cannabis use, unspecified
05286 F1290   1 Cannabis use, unspecified, uncomplicated                     Cannabis use, unspecified, uncomplicated
05287 F1291   1 Cannabis use, unspecified, in remission                      Cannabis use, unspecified, in remission
05288 F1292   0 Cannabis use, unspecified with intoxication                  Cannabis use, unspecified with intoxication
05289 F12920  1 Cannabis use, unspecified with intoxication, uncomplicated   Cannabis use, unspecified with intoxication, uncomplicated
05290 F12921  1 Cannabis use, unspecified with intoxication delirium         Cannabis use, unspecified with intoxication delirium
05291 F12922  1 Cannabis use, unsp w intoxication w perceptual disturbance   Cannabis use, unspecified with intoxication with perceptual disturbance
05292 F12929  1 Cannabis use, unspecified with intoxication, unspecified     Cannabis use, unspecified with intoxication, unspecified
05293 F1293   1 Cannabis use, unspecified with withdrawal                    Cannabis use, unspecified with withdrawal
05294 F1295   0 Cannabis use, unspecified with psychotic disorder            Cannabis use, unspecified with psychotic disorder
05295 F12950  1 Cannabis use, unsp with psychotic disorder with delusions    Cannabis use, unspecified with psychotic disorder with delusions
05296 F12951  1 Cannabis use, unsp w psychotic disorder with hallucinations  Cannabis use, unspecified with psychotic disorder with hallucinations
05297 F12959  1 Cannabis use, unsp with psychotic disorder, unspecified      Cannabis use, unspecified with psychotic disorder, unspecified
05298 F1298   0 Cannabis use, unsp with other cannabis-induced disorder      Cannabis use, unspecified with other cannabis-induced disorder
05299 F12980  1 Cannabis use, unspecified with anxiety disorder              Cannabis use, unspecified with anxiety disorder
05300 F12988  1 Cannabis use, unsp with other cannabis-induced disorder      Cannabis use, unspecified with other cannabis-induced disorder
05301 F1299   1 Cannabis use, unsp with unsp cannabis-induced disorder       Cannabis use, unspecified with unspecified cannabis-induced disorder
05302 F13     0 Sedative, hypnotic, or anxiolytic related disorders          Sedative, hypnotic, or anxiolytic related disorders
05303 F131    0 Sedative, hypnotic or anxiolytic-related abuse               Sedative, hypnotic or anxiolytic-related abuse
05304 F1310   1 Sedative, hypnotic or anxiolytic abuse, uncomplicated        Sedative, hypnotic or anxiolytic abuse, uncomplicated
05305 F1311   1 Sedative, hypnotic or anxiolytic abuse, in remission         Sedative, hypnotic or anxiolytic abuse, in remission
05306 F1312   0 Sedative, hypnotic or anxiolytic abuse with intoxication     Sedative, hypnotic or anxiolytic abuse with intoxication
05307 F13120  1 Sedatv/hyp/anxiolytc abuse w intoxication, uncomplicated     Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated
05308 F13121  1 Sedatv/hyp/anxiolytc abuse w intoxication delirium           Sedative, hypnotic or anxiolytic abuse with intoxication delirium
05309 F13129  1 Sedative, hypnotic or anxiolytic abuse w intoxication, unsp  Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified
05310 F1313   0 Sedative, hypnotic or anxiolytic abuse with withdrawal       Sedative, hypnotic or anxiolytic abuse with withdrawal
05311 F13130  1 Sedatv/hyp/anxiolytc abuse with withdrawal, uncomplicated    Sedative, hypnotic or anxiolytic abuse with withdrawal, uncomplicated
05312 F13131  1 Sedatv/hyp/anxiolytc abuse with withdrawal delirium          Sedative, hypnotic or anxiolytic abuse with withdrawal delirium
05313 F13132  1 Sedatv/hyp/anxiolytc abuse with w/drawal w perceptl disturb  Sedative, hypnotic or anxiolytic abuse with withdrawal with perceptual disturbance
05314 F13139  1 Sedatv/hyp/anxiolytc abuse with withdrawal, unspecified      Sedative, hypnotic or anxiolytic abuse with withdrawal, unspecified
05315 F1314   1 Sedative, hypnotic or anxiolytic abuse w mood disorder       Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder
05316 F1315   0 Sedative, hypnotic or anxiolytic abuse w psychotic disorder  Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder
05317 F13150  1 Sedatv/hyp/anxiolytc abuse w psychotic disorder w delusions  Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions
05318 F13151  1 Sedatv/hyp/anxiolytc abuse w psychotic disorder w hallucin   Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations
05319 F13159  1 Sedatv/hyp/anxiolytc abuse w psychotic disorder, unsp        Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified
05320 F1318   0 Sedative, hypnotic or anxiolytic abuse w oth disorders       Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorders
05321 F13180  1 Sedative, hypnotic or anxiolytic abuse w anxiety disorder    Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder
05322 F13181  1 Sedative, hypnotic or anxiolytic abuse w sexual dysfunction  Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction
05323 F13182  1 Sedative, hypnotic or anxiolytic abuse w sleep disorder      Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder
05324 F13188  1 Sedative, hypnotic or anxiolytic abuse w oth disorder        Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder
05325 F1319   1 Sedative, hypnotic or anxiolytic abuse w unsp disorder       Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder
05326 F132    0 Sedative, hypnotic or anxiolytic-related dependence          Sedative, hypnotic or anxiolytic-related dependence
05327 F1320   1 Sedative, hypnotic or anxiolytic dependence, uncomplicated   Sedative, hypnotic or anxiolytic dependence, uncomplicated
05328 F1321   1 Sedative, hypnotic or anxiolytic dependence, in remission    Sedative, hypnotic or anxiolytic dependence, in remission
05329 F1322   0 Sedative, hypnotic or anxiolytic dependence w intoxication   Sedative, hypnotic or anxiolytic dependence with intoxication
05330 F13220  1 Sedatv/hyp/anxiolytc dependence w intoxication, uncomp       Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated
05331 F13221  1 Sedatv/hyp/anxiolytc dependence w intoxication delirium      Sedative, hypnotic or anxiolytic dependence with intoxication delirium
05332 F13229  1 Sedatv/hyp/anxiolytc dependence w intoxication, unsp         Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified
05333 F1323   0 Sedative, hypnotic or anxiolytic dependence with withdrawal  Sedative, hypnotic or anxiolytic dependence with withdrawal
05334 F13230  1 Sedatv/hyp/anxiolytc dependence w withdrawal, uncomplicated  Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated
05335 F13231  1 Sedatv/hyp/anxiolytc dependence w withdrawal delirium        Sedative, hypnotic or anxiolytic dependence with withdrawal delirium
05336 F13232  1 Sedatv/hyp/anxiolytc depend w w/drawal w perceptual disturb  Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance
05337 F13239  1 Sedatv/hyp/anxiolytc dependence w withdrawal, unsp           Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified
05338 F1324   1 Sedative, hypnotic or anxiolytic dependence w mood disorder  Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder
05339 F1325   0 Sedatv/hyp/anxiolytc dependence w psychotic disorder         Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder
05340 F13250  1 Sedatv/hyp/anxiolytc depend w psychotic disorder w delusions Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions
05341 F13251  1 Sedatv/hyp/anxiolytc depend w psychotic disorder w hallucin  Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations
05342 F13259  1 Sedatv/hyp/anxiolytc dependence w psychotic disorder, unsp   Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified
05343 F1326   1 Sedatv/hyp/anxiolytc depend w persisting amnestic disorder   Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder
05344 F1327   1 Sedatv/hyp/anxiolytc dependence w persisting dementia        Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia
05345 F1328   0 Sedative, hypnotic or anxiolytic dependence w oth disorders  Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorders
05346 F13280  1 Sedatv/hyp/anxiolytc dependence w anxiety disorder           Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder
05347 F13281  1 Sedatv/hyp/anxiolytc dependence w sexual dysfunction         Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction
05348 F13282  1 Sedative, hypnotic or anxiolytic dependence w sleep disorder Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder
05349 F13288  1 Sedative, hypnotic or anxiolytic dependence w oth disorder   Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder
05350 F1329   1 Sedative, hypnotic or anxiolytic dependence w unsp disorder  Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder
05351 F139    0 Sedative, hypnotic or anxiolytic-related use, unspecified    Sedative, hypnotic or anxiolytic-related use, unspecified
05352 F1390   1 Sedative, hypnotic, or anxiolytic use, unsp, uncomplicated   Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated
05353 F1391   1 Sedatv/hyp/anxiolytc use, unspecified, in remission          Sedative, hypnotic or anxiolytic use, unspecified, in remission
05354 F1392   0 Sedative, hypnotic or anxiolytic use, unsp with intoxication Sedative, hypnotic or anxiolytic use, unspecified with intoxication
05355 F13920  1 Sedatv/hyp/anxiolytc use, unsp w intoxication, uncomplicated Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated
05356 F13921  1 Sedatv/hyp/anxiolytc use, unsp w intoxication delirium       Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium
05357 F13929  1 Sedatv/hyp/anxiolytc use, unsp w intoxication, unsp          Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified
05358 F1393   0 Sedative, hypnotic or anxiolytic use, unsp with withdrawal   Sedative, hypnotic or anxiolytic use, unspecified with withdrawal
05359 F13930  1 Sedatv/hyp/anxiolytc use, unsp w withdrawal, uncomplicated   Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated
05360 F13931  1 Sedatv/hyp/anxiolytc use, unsp w withdrawal delirium         Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium
05361 F13932  1 Sedatv/hyp/anxiolytc use, unsp w w/drawal w perceptl disturb Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances
05362 F13939  1 Sedatv/hyp/anxiolytc use, unsp w withdrawal, unsp            Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified
05363 F1394   1 Sedative, hypnotic or anxiolytic use, unsp w mood disorder   Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder
05364 F1395   0 Sedatv/hyp/anxiolytc use, unsp w psychotic disorder          Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder
